Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Tampa,Weekly,1/10/2021 0:00,Organic,0.9,17654,111,0,0,17543,17539,3,0,0
Total U.S.,Weekly,1/10/2021 0:00,Organic,1.31,2641720,100357,164498,107010,1606969,1145421,429380,32168,662887
West,Weekly,1/10/2021 0:00,Organic,1.32,488907,22236,48278,21374,174212,82613,91599,0,222807
West Tex/New Mexico,Weekly,1/10/2021 0:00,Organic,0.98,114338,1219,7524,53394,16838,14003,2835,0,35362
Albany,Weekly,1/17/2021 0:00,Conventional,1.23,154882.52,7332.18,112080.95,37.59,28240.27,23958.98,1147.96,3133.33,7191.53
Atlanta,Weekly,1/17/2021 0:00,Conventional,0.81,910589.42,353365.17,34122.48,41.86,211875.84,208563.89,3288.62,23.33,311184.07
Baltimore/Washington,Weekly,1/17/2021 0:00,Conventional,1.07,1215946.65,284623.73,366965.85,3793,456325.24,347758.51,89343.4,19223.33,104238.83
Boise,Weekly,1/17/2021 0:00,Conventional,0.94,156419.53,33220.61,12268.63,1126.84,35548.7,20918.23,14620.47,10,74254.75
Boston,Weekly,1/17/2021 0:00,Conventional,1.16,1003666.71,19927.92,461746.93,153.91,374864.67,345685.96,23492.04,5686.67,146973.28
Buffalo/Rochester,Weekly,1/17/2021 0:00,Conventional,0.98,257790.78,28947.28,67567.9,3007.66,152222.89,105950.37,40735.85,5536.67,6045.05
California,Weekly,1/17/2021 0:00,Conventional,1.16,7437526.02,1819481.06,906584.27,241462.16,1490337.59,1198437.76,226128.05,65771.78,2979660.94
Charlotte,Weekly,1/17/2021 0:00,Conventional,1.02,384563.27,144499.93,57729.45,4291.57,145337.28,121181.53,24125.75,30,32705.04
Chicago,Weekly,1/17/2021 0:00,Conventional,1.09,1207411.23,119681.68,232693,46090.29,229439.37,226324.43,3098.27,16.67,579506.89
Cincinnati/Dayton,Weekly,1/17/2021 0:00,Conventional,0.86,412329.49,59904.42,86947.75,3434.99,33830.24,33812.46,11.11,6.67,228212.09
Columbus,Weekly,1/17/2021 0:00,Conventional,0.78,323633.02,59509.95,63131.05,445.51,45007.8,44724.47,283.33,0,155538.71
Dallas/Ft. Worth,Weekly,1/17/2021 0:00,Conventional,0.65,1744345.64,647182.45,169772.71,17419.25,483323.69,393432.89,89420.8,470,426647.54
Denver,Weekly,1/17/2021 0:00,Conventional,0.84,1322562.41,213339.31,142384.13,2445.5,253470.36,232865.84,20564.52,40,710923.11
Detroit,Weekly,1/17/2021 0:00,Conventional,0.84,741473.68,100087.15,122500.91,158096.18,100865.91,100298.13,561.11,6.67,259923.53
Grand Rapids,Weekly,1/17/2021 0:00,Conventional,0.95,340532.04,19929.63,97205.96,155198.63,39185.17,38857.39,327.78,0,29012.65
Great Lakes,Weekly,1/17/2021 0:00,Conventional,0.88,6152626.6,884765,1324557.16,636802.64,994537.89,963693.16,30427.51,417.22,2311963.91
Harrisburg/Scranton,Weekly,1/17/2021 0:00,Conventional,0.96,470758.15,172091.88,119351.78,117.69,169881.38,153805.38,3119.33,12956.67,9315.42
Hartford/Springfield,Weekly,1/17/2021 0:00,Conventional,1.17,462008.83,11957.75,332366.66,174.06,112570.56,97448.86,10335.03,4786.67,4939.8
Houston,Weekly,1/17/2021 0:00,Conventional,0.73,1400342.76,519672.24,218958.97,2536.51,246897.08,205342.08,20628.34,20926.66,412277.96
Indianapolis,Weekly,1/17/2021 0:00,Conventional,0.8,349313.28,57047.9,100800.33,2032.6,67956.9,67831.34,88.89,36.67,121475.55
Jacksonville,Weekly,1/17/2021 0:00,Conventional,0.82,259224.71,98550.62,10968.18,84.24,80915.29,43546,27600.96,9768.33,68706.38
Las Vegas,Weekly,1/17/2021 0:00,Conventional,0.87,426454.58,58381.07,32278.61,78.57,148927.97,110465.61,38445.69,16.67,186788.36
Los Angeles,Weekly,1/17/2021 0:00,Conventional,1.09,3655111.89,909254.11,67110.56,189870.7,737874.6,515249.85,169559.3,53065.45,1751001.92
Louisville,Weekly,1/17/2021 0:00,Conventional,0.89,148954.65,24514.71,23073.43,45.76,40322.54,35193.1,111.11,5018.33,60998.21
Miami/Ft. Lauderdale,Weekly,1/17/2021 0:00,Conventional,0.83,1211053.08,563929.75,46294.05,122.78,294770.64,216628.04,74149.83,3992.77,305935.86
Midsouth,Weekly,1/17/2021 0:00,Conventional,0.95,4898030.4,1496967.31,902333.77,17166.51,1590296.23,1237165.58,262655.65,90475,891266.58
Nashville,Weekly,1/17/2021 0:00,Conventional,0.8,335390.93,118584.17,20908.81,5.5,93046.56,80896.5,2585.62,9564.44,102845.89
New Orleans/Mobile,Weekly,1/17/2021 0:00,Conventional,0.69,446355.71,160244.74,27906.51,402.11,173570.21,135727.67,25005.88,12836.66,84232.14
New York,Weekly,1/17/2021 0:00,Conventional,1.02,2580882.11,70504.14,1441142.79,951.17,985537.9,728245.78,241778.79,15513.33,82746.11
Northeast,Weekly,1/17/2021 0:00,Conventional,1.05,7336696.9,635105.09,3590162.03,9752.39,2581229.76,2056781.33,444778.43,79670,520447.63
Northern New England,Weekly,1/17/2021 0:00,Conventional,1.07,743055.45,17622.21,473566.58,96.35,161968,155898.91,179.09,5890,89802.31
Orlando,Weekly,1/17/2021 0:00,Conventional,0.79,680268.43,260587.14,17476.06,81.55,257567.93,149427.26,95027.34,13113.33,144555.75
Philadelphia,Weekly,1/17/2021 0:00,Conventional,0.95,759600.59,144272.87,271383.16,368.79,287020.68,202801.25,74866.1,9353.33,56555.09
Phoenix/Tucson,Weekly,1/17/2021 0:00,Conventional,0.65,1366784.95,572171.09,159494.57,4811.72,211035.88,181812.41,29203.47,20,419271.69
Pittsburgh,Weekly,1/17/2021 0:00,Conventional,0.89,207142.28,52823.35,13709.08,39.98,52074.53,50655.55,455.65,963.33,88495.34
Plains,Weekly,1/17/2021 0:00,Conventional,0.68,3262991.99,1517230.76,577566.85,884.29,730412.61,552378.7,177567.25,466.66,436897.48
Portland,Weekly,1/17/2021 0:00,Conventional,0.85,1006980.92,118269.18,118779.98,5102.33,179804.59,44150.56,135650.7,3.33,585024.84
Raleigh/Greensboro,Weekly,1/17/2021 0:00,Conventional,0.94,507918.8,196528.37,79735.52,4452.46,192854.82,154775.13,38036.36,43.33,34347.63
Richmond/Norfolk,Weekly,1/17/2021 0:00,Conventional,0.96,372513.9,98673.58,76363.96,886.63,102197.79,75005.42,17685.7,9506.67,94391.94
Roanoke,Weekly,1/17/2021 0:00,Conventional,0.87,247179.99,70800.66,32889.28,36.69,57722.09,44311.83,7846.93,5563.33,85731.27
Sacramento,Weekly,1/17/2021 0:00,Conventional,1.21,551415.74,136055.26,202023.42,3417.93,122947.95,101526.7,21381.25,40,86971.18
San Diego,Weekly,1/17/2021 0:00,Conventional,1.16,685588.5,115894.57,29989.61,22078.48,131305.7,115317.78,6421.53,9566.39,386320.14
San Francisco,Weekly,1/17/2021 0:00,Conventional,1.39,926940.07,203429.9,228238.12,7802.71,191507.48,185828.04,5669.44,10,295961.86
Seattle,Weekly,1/17/2021 0:00,Conventional,1.06,761169.69,83761.94,110912.91,192.08,73317.01,73317.01,0,0,492985.75
South Carolina,Weekly,1/17/2021 0:00,Conventional,0.89,629813.55,236991.9,51101.42,1683.47,195808.6,148387.41,43271.19,4150,144228.16
South Central,Weekly,1/17/2021 0:00,Conventional,0.68,8192028.99,2995927.21,849618.69,185867.39,2238179.29,1572334.51,615864.78,49980,1922436.41
Southeast,Weekly,1/17/2021 0:00,Conventional,0.81,6604655.76,2687804.53,257669.07,2601.48,1890313.24,1376344.43,447016.59,66952.22,1766267.44
Spokane,Weekly,1/17/2021 0:00,Conventional,0.94,132696.52,20330.77,14951.68,27.96,15799.41,15799.41,0,0,81586.7
St. Louis,Weekly,1/17/2021 0:00,Conventional,0.83,261775.71,109819.8,13717.18,64.95,83738.24,83247.22,487.69,3.33,54435.54
Syracuse,Weekly,1/17/2021 0:00,Conventional,1.06,115533.7,10566.25,47085.74,764.91,51465.28,35691.17,12760.78,3013.33,5651.52
Tampa,Weekly,1/17/2021 0:00,Conventional,0.78,715436.92,278764.46,22890.61,35.61,216505.39,126267.41,90207.98,30,197240.85
Total U.S.,Weekly,1/17/2021 0:00,Conventional,0.89,52941977.05,14077153.29,9387408.58,1118254.12,13374805.95,10319642.4,2688417.33,366746.22,14984355.11
West,Weekly,1/17/2021 0:00,Conventional,0.83,9057420.15,2039872.32,978916.72,23717.25,1859499.27,1362506.91,483979.03,13013.33,4155414.59
West Tex/New Mexico,Weekly,1/17/2021 0:00,Conventional,0.61,1238258.58,344028.58,112122.89,10450.38,536623.23,269329.05,267284.18,10,235033.5
Albany,Weekly,1/17/2021 0:00,Organic,1.33,4432,137,436,0,3556,2209,1347,0,303
Atlanta,Weekly,1/17/2021 0:00,Organic,1.42,47331,69,3332,0,24808,12003,12804,0,19122
Baltimore/Washington,Weekly,1/17/2021 0:00,Organic,1.21,94003,803,3980,4,86058,80882,5176,0,3157
Boise,Weekly,1/17/2021 0:00,Organic,1.41,7751,17,718,0,3131,1951,1180,0,3884
Boston,Weekly,1/17/2021 0:00,Organic,1.74,51864,197,2011,0,49258,47590,1668,0,399
Buffalo/Rochester,Weekly,1/17/2021 0:00,Organic,1.47,19088,1081,98,0,17908,17908,0,0,0
California,Weekly,1/17/2021 0:00,Organic,1.74,398850,23426,20704,9,182669,129243,53426,0,172042
Charlotte,Weekly,1/17/2021 0:00,Organic,1.4,20440,84,3333,25,16083,16074,9,0,916
Chicago,Weekly,1/17/2021 0:00,Organic,1.46,68519,700,3861,0,37197,13759,23437,0,26761
Cincinnati/Dayton,Weekly,1/17/2021 0:00,Organic,1.41,23496,591,2690,0,7025,1872,5153,0,13190
Columbus,Weekly,1/17/2021 0:00,Organic,1.33,16268,1260,1359,0,6926,2502,4424,0,6723
Dallas/Ft. Worth,Weekly,1/17/2021 0:00,Organic,1.18,65422,4240,170,2246,40093,23401,16692,0,18673
Denver,Weekly,1/17/2021 0:00,Organic,1.11,58897,3880,758,0,28905,10396,18509,0,25354
Detroit,Weekly,1/17/2021 0:00,Organic,1.3,30352,571,2666,0,14247,5959,8288,0,12868
Grand Rapids,Weekly,1/17/2021 0:00,Organic,1.25,8116,32,1181,0,6903,6903,0,0,0
Great Lakes,Weekly,1/17/2021 0:00,Organic,1.35,268158,8286,19992,0,141442,76294,65038,111,98437
Harrisburg/Scranton,Weekly,1/17/2021 0:00,Organic,1.15,23218,643,585,0,21949,21810,139,0,42
Hartford/Springfield,Weekly,1/17/2021 0:00,Organic,1.84,24507,1223,7905,0,15149,15149,0,0,230
Houston,Weekly,1/17/2021 0:00,Organic,1.24,35226,5122,4,0,17554,1468,16087,0,12545
Indianapolis,Weekly,1/17/2021 0:00,Organic,1.24,13768,172,1266,0,6789,3449,3341,0,5540
Jacksonville,Weekly,1/17/2021 0:00,Organic,1.05,5542,66,216,0,5202,1801,3,3398,58
Las Vegas,Weekly,1/17/2021 0:00,Organic,1.4,20816,978,571,0,8837,4551,4286,0,10431
Los Angeles,Weekly,1/17/2021 0:00,Organic,1.63,185385,10245,2811,6,76070,29586,46484,0,96253
Louisville,Weekly,1/17/2021 0:00,Organic,1.45,10866,1,789,0,5790,232,4461,1097,4286
Miami/Ft. Lauderdale,Weekly,1/17/2021 0:00,Organic,0.92,22881,293,7,0,22582,21503,0,1079,0
Midsouth,Weekly,1/17/2021 0:00,Organic,1.25,352543,2948,25917,171,277294,206969,54637,15689,46212
Nashville,Weekly,1/17/2021 0:00,Organic,1.32,24365,36,1507,0,14398,2319,7896,4183,8423
New Orleans/Mobile,Weekly,1/17/2021 0:00,Organic,1.11,7775,32,0,0,6388,3539,2849,0,1355
New York,Weekly,1/17/2021 0:00,Organic,1.57,143843,22115,13307,12,101251,101251,0,0,7157
Northeast,Weekly,1/17/2021 0:00,Organic,1.52,399275,36313,32691,11,310004,293006,16997,0,20256
Northern New England,Weekly,1/17/2021 0:00,Organic,1.56,31210,104,776,0,26224,13539,12685,0,4107
Orlando,Weekly,1/17/2021 0:00,Organic,0.94,14568,123,0,0,14445,10350,0,4095,0
Philadelphia,Weekly,1/17/2021 0:00,Organic,1.42,42168,3495,3308,0,30563,29448,1115,0,4802
Phoenix/Tucson,Weekly,1/17/2021 0:00,Organic,1.27,38463,3943,5863,0,18402,11954,6447,0,10255
Pittsburgh,Weekly,1/17/2021 0:00,Organic,1.22,17781,3678,0,0,11845,11840,6,0,2259
Plains,Weekly,1/17/2021 0:00,Organic,1.11,85694,5256,2167,17,65149,57998,7150,0,13107
Portland,Weekly,1/17/2021 0:00,Organic,1.36,63268,1100,9147,0,15559,2505,13054,0,37462
Raleigh/Greensboro,Weekly,1/17/2021 0:00,Organic,1.4,26599,825,3646,78,21071,21059,12,0,978
Richmond/Norfolk,Weekly,1/17/2021 0:00,Organic,1.03,37997,41,1776,3,33464,27296,6168,0,2713
Roanoke,Weekly,1/17/2021 0:00,Organic,1.17,20772,40,1683,0,14496,8677,5028,790,4553
Sacramento,Weekly,1/17/2021 0:00,Organic,1.7,22350,2959,2510,0,13054,13054,0,0,3827
San Diego,Weekly,1/17/2021 0:00,Organic,1.88,38035,1524,1382,0,12444,7204,5240,0,22685
San Francisco,Weekly,1/17/2021 0:00,Organic,1.86,79853,3205,5925,1,44650,44650,0,0,26073
Seattle,Weekly,1/17/2021 0:00,Organic,1.6,93549,1035,15298,4,14629,2755,11874,0,62583
South Carolina,Weekly,1/17/2021 0:00,Organic,1.32,31555,525,2507,74,24102,20361,2517,1225,4347
South Central,Weekly,1/17/2021 0:00,Organic,1.24,263554,16368,3186,18304,150246,84661,65586,0,75451
Southeast,Weekly,1/17/2021 0:00,Organic,1.18,206488,1477,8294,68,164139,120121,25923,18095,32510
Spokane,Weekly,1/17/2021 0:00,Organic,1.5,8903,138,884,0,3431,1020,2411,0,4450
St. Louis,Weekly,1/17/2021 0:00,Organic,1.71,7872,956,1267,0,4250,4250,0,0,1399
Syracuse,Weekly,1/17/2021 0:00,Organic,1.44,5569,286,154,0,4984,4596,388,0,146
Tampa,Weekly,1/17/2021 0:00,Organic,0.92,17587,122,0,0,17465,17465,0,0,0
Total U.S.,Weekly,1/17/2021 0:00,Organic,1.39,2440237,114849,157575,22490,1463853,1051558,378401,33895,681469
West,Weekly,1/17/2021 0:00,Organic,1.37,465675,20776,44625,3910,172910,83266,89644,0,223454
West Tex/New Mexico,Weekly,1/17/2021 0:00,Organic,1.38,53780,1796,1658,10501,23760,20286,3475,0,16064
Albany,Weekly,1/24/2021 0:00,Conventional,0.92,195366.56,9431.34,155635.75,55.13,24875.84,22183,1389.51,1303.33,5368.5
Atlanta,Weekly,1/24/2021 0:00,Conventional,0.8,885676.32,346275.38,39111.46,50.54,208042.37,205987.3,1991.74,63.33,292196.57
Baltimore/Washington,Weekly,1/24/2021 0:00,Conventional,1.07,1199319.36,248340.88,318964.97,4845.39,458234.21,369673.57,67997.31,20563.33,168933.91
Boise,Weekly,1/24/2021 0:00,Conventional,0.87,167096.14,39896.97,10935.14,1028.66,32932.49,21405.86,11516.63,10,82302.88
Boston,Weekly,1/24/2021 0:00,Conventional,1.18,922708.08,18640.04,496362.87,122.98,264939.72,257393.16,1323.23,6223.33,142642.47
Buffalo/Rochester,Weekly,1/24/2021 0:00,Conventional,0.93,254521.46,38997.3,67964.7,2521.93,139528.53,127503.6,9504.93,2520,5509
California,Weekly,1/24/2021 0:00,Conventional,1.13,7538838.49,1735687.86,961556.25,226309.08,1482205.41,1216208.23,210550.62,55446.56,3133079.89
Charlotte,Weekly,1/24/2021 0:00,Conventional,0.96,411130.69,176752.33,62683.7,5931.99,132402.72,111768.23,20597.82,36.67,33359.95
Chicago,Weekly,1/24/2021 0:00,Conventional,0.98,1232363.64,139874.27,234285.03,41675.23,218103.68,215386.04,2704.31,13.33,598425.43
Cincinnati/Dayton,Weekly,1/24/2021 0:00,Conventional,0.82,365491.65,52593.61,84925.22,2113.66,31325.58,31314.47,11.11,0,194533.58
Columbus,Weekly,1/24/2021 0:00,Conventional,0.83,297889.18,52227.23,61236.54,486,45408.9,45327.79,77.78,3.33,138530.51
Dallas/Ft. Worth,Weekly,1/24/2021 0:00,Conventional,0.64,1823394.16,597474.45,203532.54,12607.82,482690.16,407274.08,74942.75,473.33,527089.19
Denver,Weekly,1/24/2021 0:00,Conventional,0.88,1153699.94,204753.57,118282.92,3193.33,283914.56,258924.59,24963.3,26.67,543555.56
Detroit,Weekly,1/24/2021 0:00,Conventional,0.86,723473.84,92803.17,120429.43,139882.94,98467.34,97997.34,466.67,3.33,271890.96
Grand Rapids,Weekly,1/24/2021 0:00,Conventional,0.97,305316.09,17274.87,78460.3,142341.17,38764.58,38466.81,294.44,3.33,28475.17
Great Lakes,Weekly,1/24/2021 0:00,Conventional,0.88,5782228,829916.89,1254292.99,567923.78,933417.04,907935.14,25157.13,324.77,2196677.3
Harrisburg/Scranton,Weekly,1/24/2021 0:00,Conventional,0.94,473204.1,166179.7,123804.34,182.53,170796.94,154488.57,5798.37,10510,12240.59
Hartford/Springfield,Weekly,1/24/2021 0:00,Conventional,1.07,520736.13,12598.62,392555.53,169.87,112320.75,100188.23,5855.85,6276.67,3091.36
Houston,Weekly,1/24/2021 0:00,Conventional,0.64,1733687.29,531226.35,306310.1,2847.37,237253.57,196607.6,22562.63,18083.34,656049.9
Indianapolis,Weekly,1/24/2021 0:00,Conventional,0.8,319506.73,56714.96,93259.65,1234.49,61610.9,61423.12,177.78,10,106686.73
Jacksonville,Weekly,1/24/2021 0:00,Conventional,0.86,272293.8,122951.79,11255.45,129.34,67218.35,39028.61,26871.41,1318.33,70738.87
Las Vegas,Weekly,1/24/2021 0:00,Conventional,0.8,484980.64,70081.37,43807.54,906.19,142233.64,96625.03,45581.94,26.67,227951.9
Los Angeles,Weekly,1/24/2021 0:00,Conventional,1.09,3570572.38,844438.7,71884.14,175493.28,703544.93,500572.65,158134.74,44837.54,1775211.33
Louisville,Weekly,1/24/2021 0:00,Conventional,0.84,169022.98,26124.85,31163.8,42.88,31198.72,29746.5,83.33,1368.89,80492.73
Miami/Ft. Lauderdale,Weekly,1/24/2021 0:00,Conventional,0.84,1238826.82,590204.02,47214.92,89.63,291008.86,217415.77,73306.42,286.67,310309.39
Midsouth,Weekly,1/24/2021 0:00,Conventional,0.91,5080604.24,1609174.28,908159.81,23133.93,1465665.13,1186302.59,221793.65,57568.89,1074471.09
Nashville,Weekly,1/24/2021 0:00,Conventional,0.81,332688.87,118256.94,23114.46,13.18,77932.28,75089.37,2174.58,668.33,113372.01
New Orleans/Mobile,Weekly,1/24/2021 0:00,Conventional,0.72,434430.03,153613.03,24816.36,372.66,175143.76,140265.87,22197.89,12680,80484.22
New York,Weekly,1/24/2021 0:00,Conventional,0.96,2881927.88,83027.97,1627172,839.93,1008957.69,727279.57,269864.79,11813.33,161930.29
Northeast,Weekly,1/24/2021 0:00,Conventional,0.98,7883844.76,661914.59,4185198.47,8375.9,2433298.66,1970604.13,397764.53,64930,595057.14
Northern New England,Weekly,1/24/2021 0:00,Conventional,0.88,886682.75,18289.43,686339.03,126.53,109129.99,102126.42,190.24,6813.33,72797.77
Orlando,Weekly,1/24/2021 0:00,Conventional,0.81,718112.63,311336.9,17853.74,21.45,224339.18,131500.86,91257.76,1580.56,164561.36
Philadelphia,Weekly,1/24/2021 0:00,Conventional,0.89,868474.69,153023.31,290714.51,382.04,295139.72,206248.42,80997.97,7893.33,129215.11
Phoenix/Tucson,Weekly,1/24/2021 0:00,Conventional,0.69,1467400.05,303386.43,297148.41,4005.63,188052.48,161426.93,26622.22,3.33,674807.1
Pittsburgh,Weekly,1/24/2021 0:00,Conventional,1.09,140769.97,37981.3,13294.8,3.37,51155.27,49667.5,494.44,993.33,38335.23
Plains,Weekly,1/24/2021 0:00,Conventional,0.87,2627286.39,891679.29,509757.28,995.31,732621.48,562153.77,169797.71,670,492233.03
Portland,Weekly,1/24/2021 0:00,Conventional,0.9,905864.43,115248.9,105301.15,4690.62,82587.67,41971.67,40609.33,6.67,598036.09
Raleigh/Greensboro,Weekly,1/24/2021 0:00,Conventional,0.9,536921.95,229620.82,81933.7,6280.97,178077.62,142638.1,35289.52,150,41008.84
Richmond/Norfolk,Weekly,1/24/2021 0:00,Conventional,0.85,423219.26,126414.7,92250.27,1274.15,94149.41,68568,15908.08,9673.33,109130.73
Roanoke,Weekly,1/24/2021 0:00,Conventional,0.82,267673.87,79172.83,38337,14.44,53261.92,42660.8,7296.12,3305,96887.68
Sacramento,Weekly,1/24/2021 0:00,Conventional,1.02,623985.99,141912.6,249034.94,4358.72,129247.48,111421.65,17695.83,130,99432.25
San Diego,Weekly,1/24/2021 0:00,Conventional,1.14,692735.63,108527.3,34418.62,19739.35,119385.13,105032.64,6304.17,8048.32,410665.23
San Francisco,Weekly,1/24/2021 0:00,Conventional,1.37,958934.24,193545.61,216371.74,8187.81,211085.13,206640.55,4397.91,46.67,329743.95
Seattle,Weekly,1/24/2021 0:00,Conventional,1.07,780443.78,96929.41,102155.79,160.2,68295.16,68295.16,0,0,512903.22
South Carolina,Weekly,1/24/2021 0:00,Conventional,0.87,619350.93,261316.65,50029.74,2203.11,168426.04,130252.37,37350.9,822.77,137375.39
South Central,Weekly,1/24/2021 0:00,Conventional,0.67,8548673.05,2768809.73,1026147.94,136919.97,2144690.84,1607954.06,491270.11,45466.67,2472104.57
Southeast,Weekly,1/24/2021 0:00,Conventional,0.82,6740026.76,2897787.44,271164.29,3131.85,1751725.42,1302906.03,428217.72,20601.67,1816217.76
Spokane,Weekly,1/24/2021 0:00,Conventional,0.93,138297.01,21170.44,15197.61,14.02,15666.86,15666.86,0,0,86248.08
St. Louis,Weekly,1/24/2021 0:00,Conventional,0.85,281860.61,124767.22,13923.7,28.25,83307.59,82483.16,814.43,10,59833.85
Syracuse,Weekly,1/24/2021 0:00,Conventional,0.94,123122.5,13154.62,57382.89,580.4,48284.07,43730.11,3050.63,1503.33,3720.52
Tampa,Weekly,1/24/2021 0:00,Conventional,0.8,749855.72,301362.61,23527.33,17.8,211981.01,122692.53,89275.15,13.33,212966.97
Total U.S.,Weekly,1/24/2021 0:00,Conventional,0.88,53237040.17,13116601.84,10289480.96,990601.25,12621867.75,10119268.97,2246769.63,255829.15,16218488.37
West,Weekly,1/24/2021 0:00,Conventional,0.84,9035538.27,1721631.76,1173203.94,23811.42,1678243.81,1365205,302218.21,10820.6,4438647.34
West Tex/New Mexico,Weekly,1/24/2021 0:00,Conventional,0.64,1200129.95,346320.08,108086.03,9884.54,472566.68,302113.32,170440.03,13.33,263272.62
Albany,Weekly,1/24/2021 0:00,Organic,1.34,3802,45,465,0,3081,1875,1206,0,212
Atlanta,Weekly,1/24/2021 0:00,Organic,1.34,48944,51,3479,0,23589,10833,12756,0,21826
Baltimore/Washington,Weekly,1/24/2021 0:00,Organic,1.19,94918,685,3729,8,89175,84253,4922,0,1322
Boise,Weekly,1/24/2021 0:00,Organic,1.4,7540,12,674,0,3141,1794,1347,0,3711
Boston,Weekly,1/24/2021 0:00,Organic,1.5,72395,119,2146,0,69721,68402,1319,0,409
Buffalo/Rochester,Weekly,1/24/2021 0:00,Organic,1.44,18381,1254,144,0,16982,16982,0,0,0
California,Weekly,1/24/2021 0:00,Organic,1.7,404877,24928,27072,0,182802,125181,57621,0,170074
Charlotte,Weekly,1/24/2021 0:00,Organic,1.35,20471,71,3416,31,16731,16722,9,0,222
Chicago,Weekly,1/24/2021 0:00,Organic,1.34,77450,443,3712,0,49843,9702,40141,0,23452
Cincinnati/Dayton,Weekly,1/24/2021 0:00,Organic,1.39,22561,626,2629,0,7441,2059,5383,0,11865
Columbus,Weekly,1/24/2021 0:00,Organic,1.33,14110,1688,1090,0,6785,2403,4382,0,4546
